"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"61","1975-12-19T21:28:31.700Z",-12.647,166.513,51,4.9,"mb",NA,NA,NA,NA,"us","usp0000dz9","2014-11-06T23:21:32.978Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"62","1976-02-12T17:54:18.600Z",-12.433,166.368,39,5.6,"ms",NA,NA,NA,NA,"us","usp0000f1d","2014-11-06T23:21:34.057Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"63","1976-03-19T19:42:16.900Z",-12.628,166.521,50,5,"mb",NA,NA,NA,NA,"us","usp0000fh6","2014-11-06T23:21:34.417Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"64","1976-04-01T21:03:57.300Z",-12.89,166.449,84,5.8,"mb",NA,NA,NA,NA,"us","usp0000fqz","2015-07-13T17:02:24.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"65","1976-09-07T05:57:31.600Z",-13.213,166.392,69,5.3,"mb",NA,NA,NA,NA,"us","usp0000j90","2014-11-06T23:21:37.081Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"66","1976-09-09T20:09:39.500Z",-13.11,166.966,198,4.8,"mb",NA,NA,NA,NA,"us","usp0000jah","2014-11-06T23:21:37.121Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"67","1977-01-23T01:38:23.500Z",-13.379,166.511,39,5.6,"ms",NA,NA,NA,NA,"us","usp0000maa","2015-05-13T18:53:13.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"68","1977-05-13T15:06:25.100Z",-12.904,166.492,96,4.8,"mb",NA,NA,NA,NA,"us","usp0000nvm","2014-11-06T23:21:41.874Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"69","1977-07-05T03:24:30.400Z",-12.516,166.12,32,5.3,"mb",NA,NA,NA,NA,"us","usp0000pma","2014-11-06T23:21:42.862Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"70","1977-08-17T04:02:40.800Z",-12.654,166.203,53,5.3,"mb",NA,NA,NA,NA,"us","usp0000q4v","2014-11-06T23:21:43.555Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"71","1978-02-08T08:29:59.900Z",-12.859,166.164,33,4.9,"mb",NA,NA,NA,NA,"us","usp0000svn","2014-11-06T23:21:46.913Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"72","1978-03-24T10:47:49.200Z",-12.436,166.949,247,5,"mb",NA,NA,NA,NA,"us","usp0000tmm","2014-11-06T23:21:47.876Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"73","1978-05-25T00:35:09.900Z",-12.709,166.655,121,5.1,"mb",NA,NA,NA,NA,"us","usp0000uqw","2014-11-06T23:21:49.327Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"74","1978-06-13T04:17:51.200Z",-13.094,166.978,193,5.4,"mb",NA,NA,NA,NA,"us","usp0000v15","2015-07-13T17:02:24.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"75","1978-06-23T18:42:42.900Z",-12.778,166.674,136,4.2,"mb",NA,NA,NA,NA,"us","usp0000v8k","2014-11-06T23:21:49.993Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"76","1978-10-27T14:32:55.000Z",-12.837,166.473,33,4.9,"mb",NA,NA,NA,NA,"us","usp0000x5b","2014-11-06T23:21:53.157Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"77","1979-02-03T06:25:32.300Z",-12.904,166.608,80,5.4,"mb",NA,NA,NA,NA,"us","usp0000ypk","2014-11-06T23:21:56.503Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"78","1979-02-22T06:45:19.300Z",-12.437,166.864,206,4.5,"mb",NA,NA,NA,NA,"us","usp0000yyk","2014-11-06T23:21:57.226Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"79","1979-03-15T18:24:03.200Z",-13.007,166.674,122,4.8,"mb",NA,NA,NA,NA,"us","usp0000zcu","2014-11-06T23:21:58.477Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"80","1979-03-16T04:12:32.300Z",-12.648,166.073,40,5.4,"ms",NA,NA,NA,NA,"us","usp0000zdm","2015-05-13T18:53:16.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"81","1979-03-21T10:39:25.600Z",-12.448,166.949,219,4.3,"mb",NA,NA,NA,NA,"us","usp0000zje","2014-11-06T23:21:58.788Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"82","1979-05-05T20:16:19.400Z",-12.409,166.209,28,5.4,"mb",NA,NA,NA,NA,"us","usp00010fb","2014-11-06T23:22:00.908Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"83","1979-05-06T02:18:25.400Z",-12.414,166.256,36,5.3,"mb",NA,NA,NA,NA,"us","usp00010fk","2014-11-06T23:22:00.917Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"84","1979-05-06T06:09:27.100Z",-12.458,166.17,33,4.6,"mb",NA,NA,NA,NA,"us","usp00010fp","2014-11-06T23:22:00.920Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"85","1979-05-06T07:07:18.700Z",-12.464,166.238,33,5.4,"mb",NA,NA,NA,NA,"us","usp00010fq","2014-11-06T23:22:00.922Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"86","1979-05-06T07:24:19.500Z",-12.598,166.137,60,4.3,"mb",NA,NA,NA,NA,"us","usp00010fr","2014-11-06T23:22:00.923Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"87","1979-05-09T09:00:28.300Z",-12.552,166.063,47,4.6,"mb",NA,NA,NA,NA,"us","usp00010hd","2014-11-06T23:22:01.041Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"88","1979-06-10T02:41:01.700Z",-13.043,166.962,204,4.5,"mb",NA,NA,NA,NA,"us","usp000116a","2014-11-06T23:22:02.443Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"89","1979-06-11T02:01:17.700Z",-12.867,166.912,249,4.7,"mb",NA,NA,NA,NA,"us","usp000116w","2014-11-06T23:22:02.491Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"90","1979-08-22T11:54:25.700Z",-12.845,166.658,85,4,"mb",NA,NA,NA,NA,"us","usp00012jk","2014-11-06T23:22:04.942Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"91","1979-09-29T19:50:53.300Z",-12.788,166.675,134,4.6,"mb",NA,NA,NA,NA,"us","usp000136c","2014-11-06T23:22:05.869Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"92","1979-11-02T01:32:19.700Z",-13.319,166.656,33,6.1,"mb",NA,NA,NA,NA,"us","usp00013tk","2015-05-13T18:53:16.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"93","1979-11-09T16:39:25.000Z",-13.294,166.743,45,6.1,"ms",NA,NA,NA,NA,"us","usp00013xb","2015-05-13T18:53:16.000Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"94","1979-11-09T20:53:38.200Z",-13.391,166.533,67,3.9,"mb",NA,NA,NA,NA,"us","usp00013xj","2014-11-06T23:22:07.217Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"95","1979-11-11T06:06:02.200Z",-13.374,166.695,57,4.6,"mb",NA,NA,NA,NA,"us","usp00013yq","2014-11-06T23:22:07.259Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"96","1979-12-09T13:06:53.600Z",-12.65,166.604,98,5.3,"mb",NA,NA,NA,NA,"us","usp00014dv","2014-11-06T23:22:08.066Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"97","1979-12-13T01:10:52.700Z",-13.15,167.002,194,4.9,"mb",NA,NA,NA,NA,"us","usp00014fm","2014-11-06T23:22:08.139Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"98","1980-01-01T21:34:34.000Z",-13.471,166.753,60,5.1,"mb",NA,NA,NA,NA,"us","usp00014tz","2014-11-06T23:24:14.469Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
